Industry,Female_Employee_Percentage,Male_Employee_Percentage,Female_LIWC,Male_LIWC
Telecommunications,0.39,0.61,0,0
Telecommunications,0.38,0.62,0,0
Telecommunications,0.28,0.72,0.22,0.22
Telecommunications,0.57,0.43,0,0
Telecommunications,0.45,0.55,0,0
Telecommunications,0.28,0.72,0,0
Telecommunications,0.35,0.65,0,0.14
Telecommunications,0.35,0.65,0,0
Telecommunications,0.33,0.67,0,0.25
Telecommunications,0.28,0.72,0,0.2
Telecommunications,0.23,0.77,0,0
Telecommunications,0.42,0.58,0,0
Telecommunications,0.43,0.57,0,0
Telecommunications,0.35,0.65,0,0
Telecommunications,0.34,0.66,0,0.15
Telecommunications,0.39,0.61,0.17,0.17
Telecommunications,0.3,0.7,0,0
Telecommunications,0.25,0.75,0,0
Telecommunications,0.38,0.62,0.14,0
Telecommunications,0.31,0.69,0,0
Telecommunications,0.53,0.47,0,0
Telecommunications,0.29,0.71,0,0
Telecommunications,0.36,0.64,0,0
Telecommunications,0.22,0.78,0.13,0.13
Telecommunications,0.31,0.69,0,0
Telecommunications,0.26,0.74,0,0.7
Telecommunications,0.38,0.62,0,0
Telecommunications,0.3,0.7,0,0
Telecommunications,0.27,0.73,0,0
Telecommunications,0.26,0.74,0,0
Telecommunications,0.43,0.57,0,0
Telecommunications,0.4,0.6,0,0
Telecommunications,0.42,0.58,0,0
Telecommunications,0.17,0.83,0,0
Telecommunications,0.37,0.63,0,0
Telecommunications,0.34,0.66,0,0.54
Telecommunications,0.4,0.6,0,0
Telecommunications,0.4,0.6,0,0
Telecommunications,0.26,0.74,0,0
Telecommunications,0.4,0.6,0,0
Telecommunications,0.34,0.66,0,0
Telecommunications,0.49,0.51,0,0
Telecommunications,0.31,0.69,0.15,0
Telecommunications,0.36,0.64,0,0
Telecommunications,0.48,0.52,0,0
Telecommunications,0.26,0.74,0,0
Telecommunications,0.28,0.72,0,0
Telecommunications,0.38,0.62,0,0
Telecommunications,0.27,0.73,0,0
Telecommunications,0.33,0.67,0,0.08
Telecommunications,0.5,0.5,0,0
Telecommunications,0.27,0.73,0,0
Telecommunications,0.32,0.68,0,0.68
Telecommunications,0.29,0.71,0,0
Telecommunications,0.46,0.54,0.3,0.3
Telecommunications,0.28,0.72,0.1,0
Telecommunications,0.41,0.59,0,0.66
Telecommunications,0.28,0.72,0,0.14
Telecommunications,0.16,0.84,0,0
